date;competition;phase;home_team;away_team;video_url;score
31/05/2025;Champions League;Finale;Paris Saint Germain;Inter Milan;https://www.uefa.tv/video/808117;5-0
01/06/2024;Champions League;Finale;Borussia Dortmund;Real Madrid;https://www.uefa.tv/video/645372;0-2
10/06/2023;Champions League;Finale;Manchester City;Inter Milan;https://www.uefa.tv/video/488098;1-0
14/07/2024;Euro 2024;Finale;Espagne;Angleterre;https://www.uefa.tv/video/667884;2-1
28/05/2022;Champions League;Finale;Liverpool;Real Madrid;https://www.uefa.tv/video/363926;0-1
29/05/2021;Champions League;Finale;Manchester City;Chelsea;https://www.uefa.tv/video/226569;0-1
23/08/2020;Champions League;Finale;Paris Saint Germain;Bayern Munich;https://www.uefa.tv/video/162201;0-1
01/04/1998;Champions League;Demi finale aller;Juventus;AS Monaco;https://www.uefa.tv/video/140697;4-1
21/05/2003;Europa League;Finale;Celtic Glasgow;FC Porto;https://www.uefa.tv/video/152658;2-3
23/04/2003;Champions League;Quart de finale retour;Manchester United;Real Madrid;https://www.uefa.tv/video/134832;4-3
04/05/2005;Champions League;Demi finale retour;PSV Eindhoven;AC Milan;https://www.uefa.tv/video/145800;3-1
02/05/2007;Champions League;Demi finale retour;AC Milan;Manchester United;https://www.uefa.tv/video/133683;3-0
27/05/2009;Champions League;Finale;FC Barcelone;Manchester United;https://www.uefa.tv/video/152796;2-0
28/05/2011;Champions League;Finale;FC Barcelone;Manchester United;https://www.uefa.tv/video/146331;3-1
15/03/2011;Champions League;Huitieme de finale retour;Bayern Munich;Inter Milan;https://www.uefa.tv/video/135678;2-3
01/05/2013;Champions League;Demi finale retour;FC Barcelone;Bayern Munich;https://www.uefa.tv/video/134760;0-3
25/05/2013;Champions League;Finale;Borussia Dortmund;Bayern Munich;https://www.uefa.tv/video/152822;1-2
09/04/2013;Champions League;Quart de finale retour;Galatasaray;Real Madrid;https://www.uefa.tv/video/133751;3-2
